@relation Top26Cat_300To900FromEachCat-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute 'Education is the most powerful weapon which you can use to change the world.' string
@attribute ' Education' {' Education',' Health',' Money',' Beauty',' Dreams',' War',' Art',' Home',' Happiness',' Success',' Change',' Nature',' Truth',' Power',' Time',' Love',' God',' Life',' Courage',' Friendship',' Freedom',' Wisdom',' Smile',' Morning',' Alone'}

@data
'I am free because I know that I alone am morally responsible for everything I do. I am free, no matter what rules surround me. If I find them tolerable, I tolerate them; if I find them too obnoxious, I break them. I am free because I know that I alone am morally responsible for everything I do.',' Freedom'
'Freedom is not worth having if it does not connote freedom to err.',' Freedom'
'People demand freedom of speech as a compensation for the freedom of thought which they seldom use.',' Freedom'
'The desire of gold is not for gold. It is for the means of freedom and benefit.',' Freedom'
'The revelation of thought takes men out of servitude into freedom.',' Freedom'
'Freedom is nothing but a chance to be better.',' Freedom'
'Responsibility is the price of freedom.',' Freedom'
'You have freedom when you\'re easy in your harness.',' Freedom'
'Freedom is what you do with what\'s been done to you.',' Freedom'
'The only sure bulwark of continuing liberty is a government strong enough to protect the interests of the people, and a people strong enough and well enough informed to maintain its sovereign control over the goverment.',' Freedom'
'Liberty cannot be preserved without general knowledge among the people.',' Freedom'
'We must be willing to pay a price for freedom.',' Freedom'
'Is freedom anything else than the right to live as we wish? Nothing else.',' Freedom'
'May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right.',' Freedom'
'Freedom of opinion can only exist when the government thinks itself secure.',' Freedom'
'The only freedom which deserves the name is that of pursuing our own good, in our own way, so long as we do not attempt to deprive others of theirs, or impede their efforts to obtain it.',' Freedom'
'The truth is I love being alive. And I love feeling free. So if I can\'t have those things then I feel like a caged animal and I\'d rather not be in a cage. I\'d rather be dead. And it\'s real simple. And I think it\'s not that uncommon.',' Freedom'
'For in the end, freedom is a personal and lonely battle; and one faces down fears of today so that those of tomorrow might be engaged.',' Freedom'
'I hope for nothing. I fear nothing. I am free.',' Freedom'
'There are two freedoms - the false, where a man is free to do what he likes; the true, where he is free to do what he ought.',' Freedom'
'We will not waver; we will not tire; we will not falter, and we will not fail. Peace and Freedom will prevail.',' Freedom'
'Freedom is a man\'s natural power of doing what he pleases, so far as he is not prevented by force or law.',' Freedom'
'By helping readers understand these mechanics, I hope they will appreciate why freedom is for everyone, why it is essential for our security and why the free world plays a critically important role in advancing democracy around the globe.',' Freedom'
'I am in favor of complete freedom of information and of free access to the new communication tools, in particular the Internet.',' Freedom'
'That happens every time I get behind a guitar, regardless of what I\'m saying, \'cause music is freedom and being free is the closest I\'ve ever felt to being spiritual.',' Freedom'
'I am optimistic that peace can be achieved in the region because I believe that every society on earth can be free and that if freedom comes to the Middle East, there can be peace.',' Freedom'
'I always want to go back and do stand-up; I like the freedom.',' Freedom'
'Tyranny is always better organized than freedom.',' Freedom'
'The freedom now desired by many is not freedom to do and dare but freedom from care and worry.',' Freedom'
'If governments let themselves be fully bound by the decisions of their parliaments without protecting their own freedom to act, a breakup of Europe would be a more probable outcome than deeper integration.',' Freedom'
'The American free market system is the greatest engine for prosperity and opportunity that the world has ever seen. Freedom works.',' Freedom'
'There\'s also a sense of freedom. I was so obsessed by this problem that I was thinking about if all the time - when I woke up in the morning, when I went to sleep at night, and that went on for eight years.',' Freedom'
'Israel is a country that respects freedom - freedom of assembly, freedom of speech and freedom of worship.',' Freedom'
'We believe that salvation is to be found in wholesome work in a beloved land. Work will provide our people with the bread of tomorrow, and moreover, with the honor of the tomorrow, the freedom of the tomorrow.',' Freedom'
'The legal difference between the sit-ins and the Freedom Riders was significant.',' Freedom'
'My daughters, your daughters, our daughters deserve safety, protection, and the freedom to make their own choices about their personal lives and their physical selves.',' Freedom'
'People ask me if I ever thought of writing a children\'s book. I say, \'If I had a serious brain injury I might well write a children\'s book\', but otherwise the idea of being conscious of who you\'re directing the story to is anathema to me, because, in my view, fiction is freedom and any restraints on that are intolerable.',' Freedom'
'I\'d love to live in New Orleans. I love the freedom of it - for good and for bad.',' Freedom'
'Most Americans believe that with freedom comes responsibility - and that one measure of responsible gun ownership is a background check. There must be an app for that.',' Freedom'
'All my life, Americans have been accustomed to thinking of theirs as \'the richest, freest\' country in the world. By most measurements, it was long a contender for that honor, and - among the larger countries, if equal weight were given to wealth and indices of freedom - probably did deserve to be so described.',' Freedom'
'Ultimately, freedom and democracy are stronger than fear and tyranny.',' Freedom'
'All Americans and freedom-loving people around the world owe President Reagan our deepest gratitude for his strong, principled leadership that ended the Cold War and brought freedom to millions of people.',' Freedom'
'Believe me, the drug of freedom is universally potent.',' Freedom'
'The freedom to connect to the world anywhere at anytime brings with it the threat of unscrupulous predators and criminals who mask their activities with the anonymity the Internet provides to its users.',' Freedom'
'I was inspired to write this book by those who are sceptical of the power of freedom to change the world.',' Freedom'
'The United States, for a French citizen, is a friend, an ally, to whom we owe, along with most Europeans, our freedom.',' Freedom'
'People ask \'How does doing a film compare to doing an ad?\' Well, when you\'re doing a commercial you don\'t have to sell tickets. You have a captured audience. Which is actually completely rare and great; it gives you a lot of freedom. When you make a film, you have to do advertisements for the film.',' Freedom'
'Freedom is never more than one generation away from extinction. We didn\'t pass it to our children in the bloodstream. It must be fought for, protected, and handed on for them to do the same.',' Freedom'
'Freedom is never voluntarily given by the oppressor; it must be demanded by the oppressed.',' Freedom'
'Expose yourself to your deepest fear; after that, fear has no power, and the fear of freedom shrinks and vanishes. You are free.',' Freedom'
'If the freedom of speech is taken away then dumb and silent we may be led, like sheep to the slaughter.',' Freedom'
'Those who deny freedom to others deserve it not for themselves.',' Freedom'
'The sweltering summer of the Negro\'s legitimate discontent will not pass until there is an invigorating autumn of freedom and equality.',' Freedom'
'Between stimulus and response there is a space. In that space is our power to choose our response. In our response lies our growth and our freedom.',' Freedom'
'Freedom lies in being bold.',' Freedom'
'Freedom makes a huge requirement of every human being. With freedom comes responsibility. For the person who is unwilling to grow up, the person who does not want to carry is own weight, this is a frightening prospect.',' Freedom'
'Conformity is the jailer of freedom and the enemy of growth.',' Freedom'
'In giving freedom to the slave, we assure freedom to the free - honorable alike in what we give and what we preserve. We shall nobly save, or meanly lose, the last best hope of earth.',' Freedom'
'The cost of freedom is always high, but Americans have always paid it. And one path we shall never choose, and that is the path of surrender, or submission.',' Freedom'
'It is by the goodness of God that in our country we have those three unspeakably precious things: freedom of speech, freedom of conscience, and the prudence never to practice either of them.',' Freedom'
'That we we here highly resolve that these dead shall not have died in vain - that this nation, under God, shall have a new birth of freedom - and that government of the people, by the people, for the people, shall not perish from the earth.',' Freedom'
'Israel was not created in order to disappear - Israel will endure and flourish. It is the child of hope and the home of the brave. It can neither be broken by adversity nor demoralized by success. It carries the shield of democracy and it honors the sword of freedom.',' Freedom'
'Freedom is the right to tell people what they do not want to hear.',' Freedom'
'China has to go along with world trends. That\'s democracy, liberty, individual freedom. China sooner or later has to go that way. It cannot go backward.',' Freedom'
'There is no easy walk to freedom anywhere, and many of us will have to pass through the valley of the shadow of death again and again before we reach the mountaintop of our desires.',' Freedom'
'The most important kind of freedom is to be what you really are. You trade in your reality for a role. You give up your ability to feel, and in exchange, put on a mask.',' Freedom'
'It does not take a majority to prevail... but rather an irate, tireless minority, keen on setting brushfires of freedom in the minds of men.',' Freedom'
'Freedom is the sure possession of those alone who have the courage to defend it.',' Freedom'
'Real freedom is having nothing. I was freer when I didn\'t have a cent.',' Freedom'
'Freedom and justice cannot be parceled out in pieces to suit political convenience. I don\'t believe you can stand for freedom for one group of people and deny it to others.',' Freedom'
'Do not allow to slip away from you freedoms the people who came before you won with such hard knocks.',' Freedom'
'As long as men are free to ask what they must, free to say what they think, free to think what they will, freedom can never be lost and science can never regress.',' Freedom'
'Perfect freedom is as necessary to the health and vigor of commerce as it is to the health and vigor of citizenship.',' Freedom'
'None who have always been free can understand the terrible fascinating power of the hope of freedom to those who are not free.',' Freedom'
'What is freedom of expression? Without the freedom to offend, it ceases to exist.',' Freedom'
'I\'m a big advocate of freedom: freedom of speech, freedom of expression, freedom of thought.',' Freedom'
'You cannot parcel out freedom in pieces because freedom is all or nothing.',' Freedom'
'Freedom is the only law which genius knows.',' Freedom'
'Freedom is from within.',' Freedom'
'All theory is against freedom of the will; all experience for it.',' Freedom'
'Our freedom can be measured by the number of things we can walk away from.',' Freedom'
'You can only protect your liberties in this world by protecting the other man\'s freedom.',' Freedom'
'Freedom rings where opinions clash.',' Freedom'
'Freedom is the oxygen of the soul.',' Freedom'
'We are driven by five genetic needs: survival, love and belonging, power, freedom, and fun.',' Freedom'
'Seek freedom and become captive of your desires. Seek discipline and find your liberty.',' Freedom'
'I believe we are on an irreversible trend toward more freedom and democracy - but that could change.',' Freedom'
'As human beings, we are endowed with freedom of choice, and we cannot shuffle off our responsibility upon the shoulders of God or nature. We must shoulder it ourselves. It is our responsibility.',' Freedom'
'In America, through pressure of conformity, there is freedom of choice, but nothing to choose from.',' Freedom'
'Enslave the liberty of but one human being and the liberties of the world are put in peril.',' Freedom'
'I believe in freedom of speech, but I believe we should also have the right to comment on freedom of speech.',' Freedom'
'Freedom is absolutely necessary for the progress in science and the liberal arts.',' Freedom'
'There is no such thing as a little freedom. Either you are all free, or you are not free.',' Freedom'
'Freedom from fear\' could be said to sum up the whole philosophy of human rights',' Freedom'
'When we lose the right to be different, we lose the privilege to be free.',' Freedom'
'We\'re giving our freedoms away. The American experiment was about freedom. Freedom to be stupid, freedom to fail, freedom to succeed.',' Freedom'
'Children should have enough freedom to be themselves - once they\'ve learned the rules.',' Freedom'
'Freedom of speech includes the freedom to offend people.',' Freedom'
'We do not commonly see in a tax a diminution of freedom, and yet it clearly is one.',' Freedom'
'Heresy is another word for freedom of thought.',' Freedom'
'Freedom is the recognition of necessity.',' Freedom'
'I chose America as my home because I value freedom and democracy, civil liberties and an open society.',' Freedom'
'The right to be let alone is indeed the beginning of all freedoms.',' Freedom'
'Freedom is contagious. That\'s why despots fear it so much.',' Freedom'
'One of the unsung freedoms that go with a free press is the freedom not to read it.',' Freedom'
'I need this wild life, this freedom.',' Freedom'
'Free speech carries with it some freedom to listen.',' Freedom'
'Freedom of the press is not an end in itself but a means to the end of achieving a free society.',' Freedom'
'Freedom is never easily won, but once established, freedom lasts, spreads and chokes out tyranny.',' Freedom'
'Coercion, after all, merely captures man. Freedom captivates him.',' Freedom'
'We should favor innovation and freedom over regulation.',' Freedom'
'Freedom is the right to one\'s dignity as a man.',' Freedom'
'Human beings crave freedom at their core.',' Freedom'
'The link between my experience as an entrepreneur and that of a politician is all in one word: freedom.',' Freedom'
'The very idea of freedom incites fear in the hearts of terrorists across the world.',' Freedom'
'Culture constitutes an essential element of social and political liberation. As people rise up across the Middle East and North Africa, the diversity of their cultures is not only the means but also the ultimate goal of their liberation and their freedom.',' Freedom'
'Freedom of expression is not absolute. Countries have laws that define the framework for exercising this right and which, for instance, condemn racist language.',' Freedom'
'If people who cherish freedom, who know the importance of mutual respect and are aware of the imperative necessity to establish a constructive and critical debate, if these people are not ready to speak out, to be more committed and visible, then we can expect sad, painful tomorrows. The choice is ours.',' Freedom'
'The very moment you understand that being a Muslim and being American or European are not mutually exclusive, you enrich your society. Promote the universal principles of justice and freedom, and leave the societies elsewhere to find their model of democracy based on their collective psychology and cultural heritage.',' Freedom'
'New ideas should confront old ideas. We must refer to the example of Europe. People have fought to make Europe what it is today. Freedom is not something that is served up on a plate.',' Freedom'
'Freedom - an occupied space which must be reoccupied every day.',' Freedom'
'Without economic development, any potential for political openness and freedom will be questionable.',' Freedom'
'America has never seen itself as a national state like all others, but rather as an experiment in human freedom and democracy.',' Freedom'
'When people say \'What are underground comics?\' I think the best way you can define them is just the absolute freedom involved... we didn\'t have anyone standing over us.',' Freedom'
'When I was in jail, I was a lot of people\'s favorite person. I practically ran the jail. I had more freedom than the police.',' Freedom'
'My father described this tall lady who stands in the middle of the New York harbor, holding high a torch to welcome people seeking freedom in America. I instantly fell in love.',' Freedom'
'Our Founders warned against this. They said don\'t... that your liberty is only as secure as the people are. Because once they, um, get the ability to vote themselves entitlements from the largesse of the government, liberty is done; freedom is over with. We were warned. We are there.',' Freedom'
'You have spent many lives and much treasure to bring freedom to many lands that were reluctant to receive it. And here you have a people who won it by themselves and need only the help to preserve it.',' Freedom'
'Freedom is never given; it is won.',' Freedom'
'With one man, there was a freedom and liberation. That was with Michael Hutchence, my partner in life.',' Freedom'
'With Napster and the sharing of music, of course, there are going to be people who exploit it. Greed has no end. But there\'s a lot of good that could happen. We shouldn\'t let the economic concerns of the major labels infringe on our freedom to share music.',' Freedom'
'I would say that the war correspondent gets more drinks, more girls, better pay, and greater freedom than the soldier, but at this stage of the game, having the freedom to choose his spot and being allowed to be a coward and not be executed for it is his torture.',' Freedom'
'But in the first Gulf war the United Kingdom was not under any threat from Iraq, and is still less so in the second one. Then there is no justification for obstructing freedom of information, particularly as nations have a right to know what their soldiers are being used for.',' Freedom'
'The man or country that fights priestcraft and priests is to my mind striking deeper for freedom than can be struck anywhere.',' Freedom'
'I\'ve never let producers tell me what to do. Even when I was making television, I always did what I wanted to do, and if I couldn\'t, I didn\'t do it. It was a freedom that, these days, young directors starting out don\'t have.',' Freedom'
'You cannot mistake Bush\'s clarity of purpose. He believes in a story about freedom and opportunity that makes his followers feel like they aren\'t just ticking their days down but are part of something larger than themselves.',' Freedom'
'Three simple words - freedom, justice and honesty. These sum up what the Liberal Democrats stand for.',' Freedom'
'I take life as it happens. And I give myself a lot of freedom.',' Freedom'
'We should silence anyone who opposes the right to freedom of speech.',' Freedom'
'Freedom goes hand-in-hand with mutual respect.',' Freedom'
'A trait which differentiated New York from European cities was the incredible freedom and ease in which life, including sexual life, could be carried on, on many levels.',' Freedom'
'The U.S. has since the end of World War II had an answer - we stand for free peoples and free markets, we are willing to support and defend them - we will sustain a balance of power that favors freedom.',' Freedom'
'Maybe a part of me recognized how right the improvising spirit of jazz is. Not the sounds, but the freedom to work with musicians who work that way. It felt very natural to me, but I think there\'s a way to do it without it being a jazz record.',' Freedom'
'The world is undoubtedly a safer, freer place because Thatcher - like Reagan - refused to back down when it came to defending freedom.',' Freedom'
'My name became known because I was, one might say accidentally the target of state repression and because so many people throughout the country and other parts of the world organized around the demand for my freedom.',' Freedom'
'Free verse seemed democratic because it offered freedom of access to writers. And those who disdained free verse would always be open to accusations of elitism, mandarinism. Open form was like common ground on which all might graze their cattle - it was not to be closed in by usurping landlords.',' Freedom'
'For poets today or in any age, the choice is not between freedom on the one hand and abstruse French forms on the other. The choice is between the nullity and vanity of our first efforts, and the developing of a sense of idiom, form, structure, metre, rhythm, line - all the fundamental characteristics of this verbal art.',' Freedom'
'Strong, generous, and confident, she has nobly served mankind. Beware how you trifle with your marvellous inheritance, this great land of ordered liberty, for if we stumble and fall freedom and civilization everywhere will go down in ruin.',' Freedom'
'People want the freedom. They want to be able to shop. If you don\'t like the shop trading hours and you\'re a shop owner, you don\'t have to open.',' Freedom'
'I need freedom to be happy.',' Freedom'
'Latinos have fought in all of America\'s wars, beginning with the Revolutionary War. Many Latinos are fighting and dying for our country today in Iraq, just as several of their ancestors fought for freedom in Mexico over a century ago.',' Freedom'
'Freedom is not given to us by anyone; we have to cultivate it ourselves. It is a daily practice... No one can prevent you from being aware of each step you take or each breath in and breath out.',' Freedom'
'I believe that being an actress or being involved in a movie has to be a life experience, otherwise why go for it? I have to change me, and I have to learn things, and I have to push me and my limits. By acting, I find a freedom inside of a prison in a way.',' Freedom'
'I stand for limited government, fiscal responsibility, personal freedom, personal responsibility, so the Republican Party will support me.',' Freedom'
'I enjoy the freedom of the blank page.',' Freedom'
'Freedom is a lonely battle, but if the United States doesn\'t lead it - sometimes imperfectly, but mostly with honor - who will?',' Freedom'
'It could be my British need for discipline that makes me admire the American appetite for freedom and passion.',' Freedom'
'For the freedoms our founding fathers not only dreamed about, but made into reality. It is that same pursuit of freedom today that is helping to make our world a safer place.',' Freedom'
'If freedom\'s best friends cannot unify around a realistic, actionable program of fundamental change, one that attracts and persuades a broad majority of our fellow citizens, big change will not come.',' Freedom'
'Is anarchism possible? The failure of attempts to attain freedom does not mean the cause is lost.',' Freedom'
'I used to think that if I had success I would have freedom. But I have less freedom now than I\'ve ever had. And what gives me satisfaction is not the jewelry and not the cars. What gives me satisfaction is doing things for others, like children.',' Freedom'
'American movies and music deliver themes of freedom, innocence, and power that appeal to others - partly because America itself was put together out of a multiplicity of national traditions.',' Freedom'
'The attitude is we live and let live. This is actually an amazing change in values in a rather short time and it\'s an example of freedom from religion.',' Freedom'
'The three main sources of scepticism are first, that not every people desires freedom; second, that democracy in certain parts of the world would be dangerous; and third, that there is little the world\'s democracies can do to advance freedom outside their countries.',' Freedom'
'With courage and character, American soldiers continue to put themselves on the line to defend our freedom, and so many have paid the ultimate sacrifice.',' Freedom'
'Freedom is never dear at any price. It is the breath of life. What would a man not pay for living?',' Freedom'
'Violent means will give violent freedom. That would be a menace to the world and to India herself.',' Freedom'
'We cannot expect that all nations will adopt like systems, for conformity is the jailer of freedom and the enemy of growth.',' Freedom'
'True individual freedom cannot exist without economic security and independence. People who are hungry and out of a job are the stuff of which dictatorships are made.',' Freedom'
'Most people do not really want freedom, because freedom involves responsibility, and most people are frightened of responsibility.',' Freedom'
'In the long history of the world, only a few generations have been granted the role of defending freedom in its hour of maximum danger. I do not shrink from this responsibility - I welcome it.',' Freedom'
'Nobody can give you freedom. Nobody can give you equality or justice or anything. If you\'re a man, you take it.',' Freedom'
'Punk is musical freedom. It\'s saying, doing and playing what you want. In Webster\'s terms, \'nirvana\' means freedom from pain, suffering and the external world, and that\'s pretty close to my definition of Punk Rock.',' Freedom'
'The path we have chosen for the present is full of hazards, as all paths are. The cost of freedom is always high, but Americans have always paid it. And one path we shall never choose, and that is the path of surrender, or submission.',' Freedom'
'I am a Republican, a black, dyed in the wool Republican, and I never intend to belong to any other party than the party of freedom and progress.',' Freedom'
'I am involved in a freedom ride protesting the loss of the minority rights belonging to the few remaining earthbound stars. All we demanded was our right to twinkle.',' Freedom'
'If we don\'t believe in freedom of expression for people we despise, we don\'t believe in it at all.',' Freedom'
'A hero is someone who understands the responsibility that comes with his freedom.',' Freedom'
'Money won\'t create success, the freedom to make it will.',' Freedom'
'Well, if crime fighters fight crime and fire fighters fight fire, what do freedom fighters fight? They never mention that part to us, do they?',' Freedom'
'Let freedom reign. The sun never set on so glorious a human achievement.',' Freedom'
'Nothing has been purchased more dearly than the little bit of reason and sense of freedom which now constitutes our pride.',' Freedom'
'I am interested in anything about revolt, disorder, chaos-especially activity that seems to have no meaning. It seems to me to be the road toward freedom... Rather than starting inside, I start outside and reach the mental through the physical.',' Freedom'
'Americans are so enamored of equality that they would rather be equal in slavery than unequal in freedom.',' Freedom'
'Freedom means you are unobstructed in living your life as you choose. Anything less is a form of slavery.',' Freedom'
'Every human has four endowments- self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.',' Freedom'
'I\'m interested in anything about revolt, disorder, chaos, especially activity that appears to have no meaning. It seems to me to be the road toward freedom.',' Freedom'
'Wherever on this planet ideals of personal freedom and dignity apply, there you will find the cultural inheritance of England.',' Freedom'
'Money equals freedom.',' Freedom'
'The freedom of thought is a sacred right of every individual man, and diversity will continue to increase with the progress, refinement, and differentiation of the human intellect.',' Freedom'
'When we, through our educational culture, through the media, through the entertainment culture, give our children the impression that human beings cannot control their passions, we are telling them, in effect, that human beings cannot be trusted with freedom.',' Freedom'
'At 6 years old, the ice became a place for me to express myself. Because I was so shy off the ice, it became my safe haven, with music and freedom and self-expression. That was my emotional outlet.',' Freedom'
'But it required a disastrous, internecine war to bring this question of human freedom to a crisis, and the process of striking the shackles from the slave was accomplished in a single hour.',' Freedom'
'For us, holding on to religious rules, and following them, and refraining from what\'s forbidden, and being diligent with our duties, what do we call that? That\'s what we call freedom.',' Freedom'
'If we want to talk about freedom, we must mean freedom for others as well as ourselves, and we must mean freedom for everyone inside our frontiers as well as outside.',' Freedom'
'None of us had any idea of how successful Downton was going to be. I thought I was signing up for another period drama that had a slightly modern feel. It had a freedom about it because it was coming out of the head of Julian Fellowes. Anything could happen and generally did.',' Freedom'
'Having grown up in Bombay, from the day you\'re born, you have absolute freedom to choose who you want to be.',' Freedom'
'Government has the role of suiting people for freedom. People aren\'t made for freedom spontaneously. There\'s sort of a 19-year race between when people are born and when they become adults. And government has a role in making them, at the end of 19 years, suited to be upright, trustworthy repositories of popular sovereignty.',' Freedom'
'Republican values - strong families, faith, personal responsibility and freedom, among others - are not unique to specific subsets of the electorate. They are universal values, and it is Republicans\' job to remind Americans of that fact.',' Freedom'
'To her audience, Janis Joplin has remained a symbol, artifact and reminder of late Sixties youth culture. Her popularity never derived from her musical ability, but from her capacity to link her fantasies of freedom and immortality with ours.',' Freedom'
'Where terrorists offer injustice, disorder and destruction, the United States and its allies stand for freedom, fairness, equality, hope, and opportunity.',' Freedom'
'I want our government to encourage and protect freedom as well as our traditions of faith and family.',' Freedom'
'When we are unwilling to draw clear moral lines between free societies and fear societies, when we are unwilling to call the former good and the latter evil, we will not be able to advance the cause of peace because peace cannot be disconnected from freedom.',' Freedom'
'School gives you the freedom to explore different philosophies, religions, aspects of yourself, and subjects.',' Freedom'
'It\'s great to have the freedom to enjoy your work and not feel like you\'re leaving your other life behind.',' Freedom'
'I salute all the nations of the Arab Spring and I salute the heroic people of Syria who are striving for freedom, democracy and reform.',' Freedom'
'Without freedom of the press, there can be no representative government.',' Freedom'
'The abortion license has not brought freedom and security to women. Rather, it has ushered in a new era of irresponsibility toward women and children, one that now begins before birth.',' Freedom'
'On the wagon sped, and I, as well as my comrades, gave a despairing farewell glance at freedom as we came in sight of the long stone buildings.',' Freedom'
'I always wanted to make a children\'s album because you have the freedom to explore so many wonderful topics and sounds.',' Freedom'
'Our democratic societies are in danger. In allowing ourselves to be infiltrated by fear, to be blinded by the passion of identity, we are entertaining the most serious illusions about our freedom.',' Freedom'
'History is replete with ideologies of freedom, justice, liberation of the downtrodden and the exploited, that have been turned against the very people they had mobilised, or that have reproduced the same logic of exclusion and terror toward those whom they claimed to set free.',' Freedom'
'To stop terrorists before the strike, we must do three things: deny them entry into the country, curtail their freedom of action inside the country, and deprive them of material and moral support from within the country.',' Freedom'
'Native Americans are the original inhabitants of the land that now constitutes the United States. They have helped develop the fundamental principles of freedom of speech and separation of powers that form the foundation of the United States Government.',' Freedom'
'It is crucial that members of Congress cast votes that are supportive of the values upon which our nation was founded: equality, freedom, and opportunity for all people.',' Freedom'
'That\'s free enterprise, friends: freedom to gamble, freedom to lose. And the great thing - the truly democratic thing about it - is that you don\'t even have to be a player to lose.',' Freedom'
'You can\'t make yourself saved. This is very threatening to people, even Christians, because of what it seems to say about freedom.',' Freedom'
'The American flag is the most recognized symbol of freedom and democracy in the world.',' Freedom'
'I have a fantastic relationship with money. I use it to buy my freedom.',' Freedom'
'They know the importance of their mission and of America\'s commitment to combating and defeating terrorism abroad, and they know that they are making a real difference in bringing freedom to a part of the world that has known only tyranny.',' Freedom'
'The job of training an Iraqi police force is one of the most important tasks being undertaken in Operation Iraqi Freedom. It is also one of the most difficult.',' Freedom'
'Thus, the struggle for peace includes the struggle for freedom and justice for the masses of all countries.',' Freedom'
'Genghis Khan decreed religious tolerance for all of his conquered peoples. So I think he definitely would approve of our constitutional protections of freedom of religion. I think he would also approve of the way the U.S. has been able to attract talented people from all over the world.',' Freedom'
'History is full of examples of people who clamp down after they began to enjoy too much freedom. Freedom can lead to instability, anarchy, and confusion. So there can be a moral counter-revolution.',' Freedom'
'How can you be conservative and justify wiretapping people without a warrant? We\'re supposed to be the party of personal freedom and civil liberties.',' Freedom'
'If you scratch below the surface and ask what really makes me tick, it\'s the liberalism of trying to promote freedom and opportunity. Promoting social mobility is one of the keys to that.',' Freedom'
'I don\'t watch a huge amount of telly. I read a lot. I\'m reading at the moment \'Freedom,\' by Jonathan Franzen, a great big brick of a book, and I\'m loving it.',' Freedom'
'I am a passionate believer in freedom of speech. I would not support anything which would impinge on aggressive robust freedom of the British press, but when things go wrong and there has been outright illegality, there should be proper accountability.',' Freedom'
'Americans are free to choose everything from what they eat, drive and watch on TV to the President of the United States. Yet, when it comes to allowing Americans to choose the health insurance that works best for them and their family, the freedom to choose suddenly becomes un-American.',' Freedom'
'When I was younger, I was listening to a lot of Armenian music, you know, revolutionary music about freedom and protest. In the 70s I was listening to soul and the Bee Gees and ABBA, and funk.',' Freedom'
'The enemies of freedom will not prevail.',' Freedom'
'Is Walt turning over in his grave? A man named Joe Roth runs Disney right now-he gave me the go-ahead and total freedom to do whatever I wanted to do.',' Freedom'
'It is hard to know how many people do, but given that the people are so docile towards the rulers, nowadays, very few Americans show the passion for freedom that our forefathers had.',' Freedom'
'What do you think, that a dollar in a savings account is freedom? Maybe you have understood nothing I have said.',' Freedom'
'To create an organization that\'s adaptable and innovative, people need the freedom to challenge precedent, to \'waste\' time, to go outside of channels, to experiment, to take risks and to follow their passions.',' Freedom'
'We\'ve got to understand that the whole nature of the way American democracy guards its freedom has been changed.',' Freedom'
'I think my first album opened a lot of doors for me to push the freedom of speech to the limit.',' Freedom'
'I believe there are more instances of the abridgement of freedom of the people by gradual and silent encroachments by those in power than by violent and sudden usurpations.',' Freedom'
'A free press can, of course, be good or bad, but, most certainly without freedom, the press will never be anything but bad.',' Freedom'
'The framers of our Constitution meant we were to have freedom of religion, not freedom from religion.',' Freedom'
'Only free men can negotiate; prisoners cannot enter into contracts. Your freedom and mine cannot be separated.',' Freedom'
'There is no such thing as part freedom.',' Freedom'
'The only certain freedom\'s in departure.',' Freedom'
'Communists have always played an active role in the fight by colonial countries for their freedom, because the short-term objects of Communism would always correspond with the long-term objects of freedom movements.',' Freedom'
'Where globalization means, as it so often does, that the rich and powerful now have new means to further enrich and empower themselves at the cost of the poorer and weaker, we have a responsibility to protest in the name of universal freedom.',' Freedom'
'Freedom from effort in the present merely means that there has been effort stored up in the past.',' Freedom'
'What is ominous is the ease with which some people go from saying that they don\'t like something to saying that the government should forbid it. When you go down that road, don\'t expect freedom to survive very long.',' Freedom'
'Men are never really willing to die except for the sake of freedom: therefore they do not believe in dying completely.',' Freedom'
'Every tyrant who has lived has believed in freedom for himself.',' Freedom'
'Love does not claim possession, but gives freedom.',' Freedom'
'Our single most important challenge is therefore to help establish a social order in which the freedom of the individual will truly mean the freedom of the individual.',' Freedom'
'You can have peace. Or you can have freedom. Don\'t ever count on having both at once.',' Freedom'
'Freedom consists not in doing what we like, but in having the right to do what we ought.',' Freedom'
'Those who expect to reap the blessings of freedom must, like men, undergo the fatigue of supporting it.',' Freedom'
'If you\'re not ready to die for it, put the word \'freedom\' out of your vocabulary.',' Freedom'
'You can\'t separate peace from freedom because no one can be at peace unless he has his freedom.',' Freedom'
'Without culture, and the relative freedom it implies, society, even when perfect, is but a jungle. This is why any authentic creation is a gift to the future.',' Freedom'
'I think of a hero as someone who understands the degree of responsibility that comes with his freedom.',' Freedom'
'I believe in a religion that believes in freedom. Any time I have to accept a religion that won\'t let me fight a battle for my people, I say to hell with that religion.',' Freedom'
'Necessity is blind until it becomes conscious. Freedom is the consciousness of necessity.',' Freedom'
'If we wish to free ourselves from enslavement, we must choose freedom and the responsibility this entails.',' Freedom'
'The greatest threat to freedom is the absence of criticism.',' Freedom'
'Anxiety is the dizziness of freedom.',' Freedom'
'Books were my pass to personal freedom. I learned to read at age three, and soon discovered there was a whole world to conquer that went beyond our farm in Mississippi.',' Freedom'
'Freedom has cost too much blood and agony to be relinquished at the cheap price of rhetoric.',' Freedom'
'History does not long entrust the care of freedom to the weak or the timid.',' Freedom'
'The fight for freedom must go on until it is won; until our country is free and happy and peaceful as part of the community of man, we cannot rest.',' Freedom'
